City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,sakakah,29.9697,40.2064,19.76,40,72,5.53,SA,Mon Mar  6 17:31:41 2023
246,muli,2.9167,73.5667,27.58,75,100,4.78,MV,Mon Mar  6 17:34:09 2023
247,matay,28.419,30.7792,15.58,50,99,6.46,EG,Mon Mar  6 17:34:09 2023
248,narsaq,60.9167,-46.05,7.12,86,19,2.17,GL,Mon Mar  6 17:31:29 2023
249,uchiza,-8.4592,-76.4633,23.46,88,100,0.57,PE,Mon Mar  6 17:34:10 2023
250,mallapuram,11.9667,78.25,18.19,64,99,1.57,IN,Mon Mar  6 17:34:10 2023
251,eyl,7.9803,49.8164,23.69,78,9,5.84,SO,Mon Mar  6 17:34:10 2023
252,samfya,-11.3649,29.5565,18.63,94,96,0.49,ZM,Mon Mar  6 17:34:11 2023
253,vanimo,-2.6741,141.3028,25.35,86,100,1.13,PG,Mon Mar  6 17:34:11 2023
254,carrigaline,51.8117,-8.3986,5.86,87,75,3.09,IE,Mon Mar  6 17:32:12 2023
255,pisco,-13.7,-76.2167,27.03,65,0,7.72,PE,Mon Mar  6 17:34:12 2023
256,port elizabeth,-33.918,25.5701,18.51,93,75,2.06,ZA,Mon Mar  6 17:34:13 2023
257,taoudenni,22.6783,-3.9836,26.78,11,98,4.33,ML,Mon Mar  6 17:34:13 2023
258,nyuksenitsa,60.4128,44.2397,-12.92,99,100,1.69,RU,Mon Mar  6 17:34:14 2023
259,jesus maria,-30.9815,-64.0942,29.28,30,19,5.97,AR,Mon Mar  6 17:34:14 2023
260,junagadh,21.5167,70.4667,23.38,45,0,1.17,IN,Mon Mar  6 17:34:15 2023
261,gimli,50.6336,-96.9907,-13.99,61,86,6.17,CA,Mon Mar  6 17:30:06 2023
262,bhola,22.6833,90.65,22.23,59,0,2.82,BD,Mon Mar  6 17:34:16 2023
263,truth or consequences,33.1284,-107.2528,23.13,12,0,6.17,US,Mon Mar  6 17:34:16 2023
264,yulara,-25.2406,130.9889,22.5,28,0,6.16,AU,Mon Mar  6 17:34:16 2023
265,sao filipe,14.8961,-24.4956,22.73,74,76,1.32,CV,Mon Mar  6 17:31:08 2023
266,itoman,26.1247,127.6694,16.01,64,20,3.6,JP,Mon Mar  6 17:34:17 2023
267,sabang,5.8933,95.3214,27.23,67,0,8.93,ID,Mon Mar  6 17:34:17 2023
268,saldanha,-33.0117,17.9442,19.03,77,50,5.89,ZA,Mon Mar  6 17:34:18 2023
269,finschhafen,-6.6024,147.8681,27.03,82,100,1.12,PG,Mon Mar  6 17:34:19 2023
